11697#Fort Lauderdale, FL
12441#Jackson, WY
14122#Pittsburgh, PA
10821#Baltimore, MD
11057#Charlotte, NC
11618#Newark, NJ
14771#San Francisco, CA
11695#Flagstaff, AZ
11109#Colorado Springs, CO
14635#Fort Myers, FL
12173#Honolulu, HI
11298#Dallas/Fort Worth, TX
12339#Indianapolis, IN
11042#Cleveland, OH
14747#Seattle, WA
15841#Wrangell, AK
10397#Atlanta, GA
11292#Denver, CO
14869#Salt Lake City, UT
11278#Washington, DC
13244#Memphis, TN
11865#Gillette, WY
10874#Akron, OH
14679#San Diego, CA
10165#Adak Island, AK
13930#Chicago, IL
13487#Minneapolis, MN
10245#King Salmon, AK
13204#Orlando, FL
10713#Boise, ID
14908#Santa Ana, CA
14108#Peoria, IL
11066#Columbus, OH
11617#New Bern/Morehead/Beaufort, NC
11884#Spokane, WA
12266#Houston, TX
14307#Providence, RI
13931#Norfolk, VA
12264#Washington, DC
10529#Hartford, CT
13296#Manchester, NH
10792#Buffalo, NY
14057#Portland, OR
10721#Boston, MA
14027#West Palm Beach/Palm Beach, FL
14107#Phoenix, AZ
10423#Austin, TX
10930#Crescent City, CA
13424#Modesto, CA
13232#Chicago, IL
14492#Raleigh/Durham, NC
15412#Knoxville, TN
12478#New York, NY
10693#Nashville, TN
11612#Evansville, IN
13061#Laredo, TX
13303#Miami, FL
11146#Charleston/Dunbar, WV
14570#Reno, NV
10257#Albany, NY
14100#Philadelphia, PA
10868#Columbia, SC
15016#St. Louis, MO
10994#Charleston, SC
13871#Omaha, NE
14709#Deadhorse, AK
11996#Greer, SC
11638#Fresno, CA
11003#Cedar Rapids/Iowa City, IA
12915#Lake Charles, LA
12363#El Centro, CA
10434#Scranton/Wilkes-Barre, PA
14193#Pensacola, FL
11097#Cody, WY
12889#Las Vegas, NV
13198#Kansas City, MO
12953#New York, NY
12448#Jackson/Vicksburg, MS
12892#Los Angeles, CA
14986#Sarasota/Bradenton, FL
11624#Key West, FL
14814#Shreveport, LA
15919#Fayetteville, AR
12945#Lexington, KY
13422#Mobile, AL
11433#Detroit, MI
12003#Great Falls, MT
12451#Jacksonville, FL
11503#Eagle, CO
13796#Oakland, CA
15376#Tucson, AZ
10732#Aguadilla, PR
14262#Palm Springs, CA
